id,sender,received_at,text
791,الأهلي,2024-08-20T10:55:00,"ATM withdrawal AED 3,857.27 from account ***658 on 20/08/2024. Available balance AED 331,546.71"
792,alrajhi,2024-03-06T17:03:00,رمز التحقق الخاص بك هو 208745 صالح لمدة 15 دقائق لا تشاركه مع احد
793,بنك الرياض,2024-03-30T15:00:00,Your card xxxx4515 was declined at بنده due to insufficient funds
794,الراجحي,2024-06-16T07:09:00,"عملية  شراء بمبلغ 30,151.22 AED لدى amazon.sa بالبطاقة xxxx9135 بتاريخ 2024-06-16 الرصيد المتاح 498,127.60"
795,بنك الرياض,2024-06-10T21:19:00,‏خصم رسوم 40.58 SAR على الحساب ***834 رقم العملية 970368895‎
796,riyad bank,2024-03-21T01:09:00,"ATM withdrawal USD 45,674.95 from account ***791 on 2024-03-21. Available balance USD 119,235.16"
797,بنك الرياض,2024-06-02T04:36:00,"Purchase of ر.س 42,370.74 at نون on card ending xxxx1197 on 2024-06-02 04:36. Available balance ر.س 39,675.62"
798,alrajhi,2024-03-28T23:29:00,"عملية Ø´Ø±Ø§Ø¡ Ø¨Ù…Ø¨Ù„Øº 76,915.23 SAR Ù„Ø¯Ù‰ amazon.sa Ø¨Ø§Ù„Ø¨Ø·Ø§Ù‚Ø© ****9454 بتاريخ 2024-03-28 الرصيد المتاح 292,030.38"
799,بنك الرياض,2024-05-07T09:35:00,Your OTP is 433416. Valid for 10 minutes. Do not share it with anyone
800,بنك الرياض,2024-12-09T11:38:00,"‏Transfer of USD 39,750.58 to نورة الشمري completed. Ref 688899386. Balance USD 276,494.84‎"
801,بنك الرياض,2024-01-19T04:50:00,"تم ايداع راتب بمبلغ 11,952.12 SAR في الحساب ***348 بتاريخ 2024-01-19"
802,riyad bank,2024-04-08T23:13:00,Your OTP is 968680. Valid for 5 minutes. Do not share it with anyone
803,الراجحي,2024-07-05T06:31:00,"تم تحويل مبلغ 37,932.47 ر.س الى acme trading llc رقم المرجع 180492931 الرصيد 450,896.01"
804,riyad bank,2024-01-31T20:49:00,"Bill payment USD 5,530.10 to هنقرستيشن succeeded. Fee USD 9.67. Ref 436916759"
805,riyad bank,2024-10-30T23:06:00,"تم ايداع راتب بمبلغ ٧,١٠٨.٦٠ ر.س في الحساب ***٧٨٤ بتاريخ ٣٠/١٠/٢٠٢٤"
806,الراجحي,2024-04-11T18:53:00,"‏Dear  customer, service الحوالات الفورية was activated on account ***891. Call 966510624527 for help‎"
807,بنك الرياض,2024-01-10T21:37:00,‏Your card xxxx4694 was declined at jarir bookstore due to insufficient funds‎
808,الراجحي,2024-01-19T20:10:00,Your card xxxx6696 was declined at هنقرستيشن due to insufficient funds
809,بنك الرياض,2024-08-09T08:18:00,"Dear  customer, service المدفوعات الدولية was activated on account ***995. Call 966596672709 for help"
810,الأهلي,2024-03-11T19:18:00,"ATM withdrawal AED 56,727.68 from account ***421 on 11/03/2024. Available balance AED 322,637.99"
811,alrajhi,2024-01-05T15:17:00,رمز التحقق الخاص بك هو 951445 صالح لمدة 15 دقائق لا تشاركه مع احد
812,alrajhi,2024-02-19T08:16:00,خصم رسوم 47.10 ر.س على الحساب ***752 رقم العملية 579688743
813,الأهلي,2024-09-06T19:53:00,"Purchase of SAR 60,983.28 at نون on card ending ****1146 on 2024-09-06 19:53. Available balance SAR 495,146.43 -الأهلي"
814,الراجحي,2024-05-04T13:46:00,"تم تحويل مبلغ ٨٢,٣٠٧.٨١ USD الى mohammed ali رقم المرجع ٥٤٤٣٨٩٧٦٦ الرصيد ١٩٩,٥٤٠.٢٥"
815,بنك الرياض,2024-07-31T14:24:00,"Salary of ر.س 21,434.15 credited to account ***602 on 2024-07-31"
816,بنك الرياض,2024-04-26T11:57:00,"تم ايداع راتب بمبلغ 27,631.46 USD في الحساب ***339 بتاريخ 2024-04-26"
817,الراجحي,2024-03-23T12:08:00,"Dear customer, service sms alerts was activated on account ***391. Call 966543969529 for help"
818,بنك الرياض,2024-07-21T08:55:00,"تم ايداع راتب بمبلغ 31,111.56 AED في الحساب ***469 بتاريخ 21/07/2024"
819,الأهلي,2024-09-07T07:04:00,"Bill payment AED 47,448.90 to Ø¨Ù†Ø¯Ù‡ succeeded. Fee AED 62.43. Ref 258281592"
820,الراجحي,2024-01-22T01:47:00,"تم تحويل مبلغ 17,766.23 AED الى خالد العتيبي رقم المرجع 560786466 الرصيد 100,887.53"
821,alrajhi,2024-06-07T22:56:00,رمز التحقق الخاص بك هو 965962 صالح لمدة 10 دقائق لا تشاركه مع احد
822,الأهلي,2024-08-11T14:34:00,"Bill payment ر.س 59,589.05 to amazon.sa succeeded. Fee ر.س 7.98. Ref 354329963"
823,alrajhi,2024-04-01T10:26:00,Your OTP is 827902. Valid for 15 minutes. Do not share it with anyone
824,riyad bank,2024-12-05T09:02:00,"‏سحب نقدي 18,852.36 SAR من الحساب ***719 بتاريخ 2024-12-05 الرصيد المتاح 90,650.41‎ thank you"
825,riyad bank,2024-10-11T20:18:00,"عملية شراء بمبلغ 23,210.21 USD لدى بنده بالبطاقة ****6909 بتاريخ 11/10/2024 الرصيد المتاح 180,890.96"
826,الأهلي,2024-04-12T17:15:00,Your card ****3110 was declined at jarir bookstore due to insufficient funds
827,الأهلي,2024-07-28T15:26:00,"سحب Ù†Ù‚Ø¯ÙŠ 61,815.40 Ø±.Ø³ Ù…Ù† Ø§Ù„Ø­Ø³Ø§Ø¨ ***441 Ø¨ØªØ§ريخ 28/07/2024 الرصيد المتاح 258,049.67"
828,الراجحي,2024-10-13T00:48:00,"تم تحويل مبلغ 89,012.44 SAR الى acme trading llc رقم المرجع 818553806 الرصيد 98,731.16"
829,alrajhi,2024-08-16T04:39:00,"Dear customer, service المدفوعات الدولية was activated on account ***112. Call 966538431533 for help"
830,الراجحي,2024-07-11T21:36:00,عزيزنا العميل تم تفعيل خدمة الحوالات الفورية على حسابك ***468 للاستفسار اتصل على 966569887021
831,snb,2024-04-12T14:48:00,"Bill payment USD 13,000.06 to هنقرستيشن succeeded. Fee USD 69.94. Ref 762104853"
832,riyad bank,2024-04-19T09:41:00,"سحب نقدي 70,800.01 ر.س من الحساب ***453 بتاريخ 19/04/2024 الرصيد المتاح 154,191.01"
833,الراجحي,2024-08-24T11:11:00,"Purchase of Ø±.Ø³ 60,556.39 at Ù†ÙˆÙ† on card ending xxxx9163 on 24/08/2024 11:11. Available balance ر.س 267,239.18"
834,snb,2024-10-11T04:32:00,"ATM withdrawal USD ١٩,١١٢.٧١ from account ***٤٧٣ on ٢٠٢٤-١٠-١١. Available balance USD ٣٥٦,٠٤٧.٦٥"
835,بنك الرياض,2024-07-18T16:59:00,رمز التحقق الخاص بك هو 933697 صالح لمدة 5 دقائق لا تشاركه مع احد
836,الأهلي,2024-11-26T03:37:00,"سحب  نقدي 46,798.62 USD من الحساب ***211 بتاريخ 2024-11-26 الرصيد المتاح 271,182.89 thank you"
837,الراجحي,2024-08-01T07:11:00,رمز  التحقق الخاص بك هو 323256 صالح لمدة 5 دقائق لا تشاركه مع احد
838,alrajhi,2024-08-12T14:25:00,تم تحويل مبلغ ٨١٤.٨٧ ر.س الى خالد العتيبي رقم المرجع ٢٨٦٣٦٠٩٤٣ 
839,بنك الرياض,2024-04-11T21:20:00,"Purchase of SAR 48,333.37 at amazon.sa on card ending xxxx3463 on 11/04/2024 21:20. Available balance SAR 168,421.99"
840,بنك الرياض,2024-09-11T14:49:00,"‏Purchase of SAR 87,627.01 at jarir bookstore on card ending xxxx5604 on 2024-09-11 14:49. Available balance SAR 325,596.64‎"
841,الأهلي,2024-09-11T22:30:00,"ATM withdrawal SAR 7,216.54 from account ***398 on 11/09/2024. Available balance SAR 471,849.66"
842,بنك الرياض,2024-03-02T10:14:00,Your card ****7028 was declined at بنده due to insufficient funds
843,الأهلي,2024-09-01T18:42:00,"Bill payment SAR 12,126.59 to صيدلية النهدي succeeded. Fee SAR 9.22. Ref 572332523"
844,الراجحي,2024-08-19T20:34:00,"‏Transfer of USD 88,599.45 to acme trading llc completed. Ref 458828208. Balance USD 418,308.73‎"
845,الأهلي,2024-05-17T16:41:00,"‏تم ايداع راتب بمبلغ 60,644.48 SAR في الحساب ***462 بتاريخ 2024-05-17‎"
846,الراجحي,2024-04-26T23:40:00,"Transfer  of SAR 46,139.50 to acme trading llc completed. Ref 947735819. Balance SAR 417,297.22"
847,riyad bank,2024-10-26T01:19:00,"تم تحويل مبلغ 17,950.26 AED الى خالد العتيبي رقم المرجع 542764489 الرصيد 121,583.99"
848,الأهلي,2024-09-22T07:06:00,رمز التحقق الخاص بك هو 766655 صالح لمدة 10 دقائق لا تشاركه مع احد
849,riyad bank,2024-08-01T22:05:00,"Transfer of AED 39,483.22 to نورة الشمري completed. Ref 220925652. Balance AED 339,882.18"
850,بنك الرياض,2024-05-21T14:26:00,"Dear customer, service sms alerts was activated on account ***803. Call 966523801068 for help"
851,الأهلي,2024-06-04T07:34:00,"تم ايداع راتب بمبلغ 24,567.25 AED في الحساب ***216 بتاريخ 04/06/2024"
852,alrajhi,2024-07-06T09:18:00,Your card xxxx7201 was declined at jarir bookstore due to insufficient funds
853,snb,2024-06-15T12:41:00,Your card xxxx2109 was declined at amazon.sa due to insufficient funds شكرا لك
854,الأهلي,2024-11-19T16:20:00,"عملية شراء بمبلغ 37,805.48 SAR لدى jarir bookstore بالبطاقة xxxx8063 بتاريخ 2024-11-19 الرصيد المتاح 78,440.81"
855,الأهلي,2024-09-16T19:07:00,"Purchase of USD 36,021.78 at starbucks on card ending ****8533 on 2024-09-16 19:07. Available balance USD 488,026.51"
856,riyad bank,2024-11-11T07:34:00,"ATM withdrawal ر.س 62,916.08 from account ***299 on 11/11/2024. Available balance ر.س 295,979.99"
857,riyad bank,2024-04-01T04:04:00,‏Your OTP is 968762. Valid for 10 minutes. Do not share it with anyone‎
858,riyad bank,2024-05-09T04:35:00,"Transfer of SAR 57,527.53 to mohammed ali completed. Ref 594596672. Balance SAR 356,333.76"
859,الراجحي,2024-10-18T19:19:00,"Dear customer, service apple pay was activated on account ***678. Call 966517754048 for help"
860,الراجحي,2024-11-21T23:56:00,"Dear customer, service sms alerts was activated on account ***653. Call 966566303174 for help"
861,الأهلي,2024-08-19T01:44:00,"عملية شراء بمبلغ ٦٥,٨٣٨.٨٢ USD لدى صيدلية النهدي بالبطاقة ****٧٤٤٦ بتاريخ ٢٠٢٤-٠٨-١٩ الرصيد المتاح ٢٢٥,٩١٩.٧٦"
862,snb,2024-03-02T14:25:00,"Salary of AED 71,492.83 credited to account ***317 on 2024-03-02"
863,بنك الرياض,2024-10-20T10:24:00,‏Your OTP is 384295. Valid for 15 minutes. Do not share it with anyone‎
864,بنك الرياض,2024-03-27T23:08:00,Your card ****3251 was declined at jarir bookstore due to insufficient funds
865,snb,2024-05-25T07:28:00,"Dear customer, service sms alerts was activated on account ***334. Call 966560009003 for help"
866,riyad bank,2024-05-05T14:24:00,رمز التحقق الخاص بك هو ٨٧٧٩٨٧ صالح لمدة ١٥ دقائق لا تشاركه مع احد
867,بنك الرياض,2024-03-01T04:10:00,"Salary of AED 87,796.97 credited to account ***900 on 2024-03-01"
868,snb,2024-06-05T08:03:00,"Transfer of SAR 8,126.42 to خالد العتيبي completed. Ref 851493295. Balance SAR 86,940.97"
869,الراجحي,2024-07-23T19:56:00,عزيزنا  العميل تم تفعيل خدمة المدفوعات الدولية على حسابك ***827 للاستفسار اتصل على 966558271579
870,الأهلي,2024-11-27T16:25:00,عزيزنا العميل تم تفعيل خدمة apple pay على حسابك ***955 للاستفسار اتصل على 966588131579
871,الأهلي,2024-10-12T11:28:00,Your OTP is 640977. Valid for 5 minutes. Do not share it with anyone
872,riyad bank,2024-05-07T08:54:00,‏Your card xxxx4466 was declined at amazon.sa due to insufficient funds‎
873,بنك الرياض,2024-02-19T16:55:00,"Purchase of ر.س 1,493.61 at carrefour hyper on card ending ****7695 on 19/02/2024 16:55. Available balance ر.س 333,045.48"
874,riyad bank,2024-02-14T02:49:00,"ATM withdrawal ر.س 32,522.34 from account ***326 on 2024-02-14. Available balance ر.س 278,781.93"
875,الراجحي,2024-07-29T05:47:00,Your OTP is ٨٤٤٤٥١. Valid for ١٠ minutes. Do not share it with anyone
876,riyad bank,2024-06-16T20:05:00,خصم رسوم 62.17 USD على الحساب ***337 رقم العملية 327269127
877,الراجحي,2024-02-24T19:06:00,عزيزنا العميل تم تفعيل خدمة apple pay على حسابك ***777 للاستفسار اتصل على 966571842600
878,الأهلي,2024-02-10T11:44:00,خصم رسوم 75.75 ر.س على الحساب ***120 رقم العملية 877121238
879,riyad bank,2024-10-05T05:52:00,"Purchase of SAR ٣٤,٠٨١.٣٢ at starbucks on card ending xxxx٤٩٩٣ on ٢٠٢٤-١٠-٠٥ ٠٥:٥٢. Available balance SAR ٢٢٨,٤٤٦.٩٥"
880,snb,2024-01-11T11:37:00,"تم تحويل مبلغ 49,466.30 SAR الى mohammed ali رقم المرجع 794913978 الرصيد 53,455.53"
881,الأهلي,2024-12-12T20:27:00,Your card xxxx1447 was declined at jarir bookstore due to insufficient funds
882,alrajhi,2024-10-20T14:12:00,Your OTP is ٤٩٦٨٥٠. Valid for ١٥ minutes. Do not share it with anyone
883,riyad bank,2024-05-12T22:55:00,"‏تم ايداع راتب بمبلغ 87,413.19 AED في الحساب ***875 بتاريخ 2024-05-12‎"
884,بنك الرياض,2024-02-24T12:58:00,"سحب  نقدي 176.37 ر.س من الحساب ***479 بتاريخ 24/02/2024 الرصيد المتاح 275,693.40"
885,بنك الرياض,2024-09-24T12:02:00,"Bill payment SAR 57,597.15 to starbucks succeeded. Fee SAR 11.95. Ref 445313410"
886,alrajhi,2024-11-24T23:07:00,عزيزنا العميل تم تفعيل خدمة apple pay على حسابك ***١٧٣ للاستفسار اتصل على ٩٦٦٥٦١٩٠٥٣٧٥
887,snb,2024-04-11T15:01:00,"عملية شراء بمبلغ 3,173.56 SAR لدى starbucks بالبطاقة xxxx2513 بتاريخ 2024-04-11 الرصيد المتاح 394,308.43"
888,الراجحي,2024-10-11T17:52:00,عزيزنا العميل تم تفعيل خدمة المدفوعات الدولية على حسابك ***279 للاستفسار ات
889,snb,2024-06-23T16:19:00,"Transfer of SAR 54,489.20 to mohammed ali completed. Ref 374775875. Balance SAR 331,766.42"
890,بنك الرياض,2024-10-15T19:19:00,رمز  التحقق الخاص بك هو 340275 صالح لمدة 15 دقائق لا تشاركه مع احد
891,الراجحي,2024-01-10T20:14:00,"عملية شراء بمبلغ 45,120.50 USD لدى صيدلية النهدي بالبطاقة ****8401 بتاريخ 2024-01-10 الرصيد المتاح 483,836.33"
892,الأهلي,2024-01-30T13:47:00,"ATM withdrawal SAR ١,٨١٥.١٠ from account ***٤٥٩ on ٣٠/٠١/٢٠٢٤. Available balance SAR ٣١٣,٩٩٦.٤٥"
893,الأهلي,2024-02-17T17:16:00,"Purchase of ر.س 11,553.24 at هنقرستيشن on card ending xxxx2369 on 2024-02-17 17:16. Available balance ر.س 495,548.78"
894,الراجحي,2024-11-16T06:53:00,"Transfer of USD 70,454.04 to acme trading llc completed. Ref 805882145. Balance USD 40,727.48"
895,الأهلي,2024-08-07T10:50:00,Your card ****3331 was declined at صيدلية النهدي due to insufficient funds
896,snb,2024-05-11T21:49:00,‏خصم رسوم 60.64 AED على الحساب ***469 رقم العملية 574715701‎
897,الراجحي,2024-03-20T22:14:00,عزيزنا العميل تم تفعيل خدمة المدفوعات الدولية على حسابك ***516 للاستفسار اتصل على 966555469950
898,alrajhi,2024-11-01T04:24:00,"Salary of SAR 69,795.50 credited to account ***120 on 01/11/2024"
899,الراجحي,2024-11-15T01:01:00,"Bill payment AED 55,778.93 to Ù‡Ù†Ù‚Ø±Ø³ØªÙŠØ´Ù† succeeded. Fee AED 29.11. Ref 605626445 -riyad bank"
900,بنك الرياض,2024-03-03T00:12:00,Your OTP is 33306. Valid for 15 minutes. Do not share it with anyone
901,الراجحي,2024-08-15T18:40:00,عزيزنا العميل تم تفعيل خدمة المدفوعات الدولية على حسابك ***979 للاستفسار اتصل على 966517443577 thank you
902,الراجحي,2024-12-13T03:55:00,"تم  تحويل مبلغ 62,500.74 SAR الى خالد العتيبي رقم المرجع 671605455 الرصيد 251,549.58"
903,الراجحي,2024-08-03T22:04:00,"Dear customer, service المدفوعات الدولية was activated on account ***476. Call 966534216630 for help"
904,الأهلي,2024-10-27T04:12:00,"Purchase  of SAR 20,251.08 at starbucks on card ending xxxx4245 on 2024-10-27 04:12. Available balance SAR 337,995.50"
905,snb,2024-02-07T21:22:00,"Salary of USD 42,363.02 credited to account ***654 on 07/02/2024"
906,snb,2024-05-29T06:04:00,"Dear  customer, service apple pay was activated on account ***291. Call 966523079022 for help"
907,riyad bank,2024-02-04T12:40:00,"Salary of USD 9,947.08 credited to account ***234 on 2024-02-04 شكرا لك"
908,riyad bank,2024-02-03T10:17:00,"سحب نقدي 48,714.15 SAR من الحساب ***429 بتاريخ 2024-02-03 الرصيد المتاح 41,874.18"
909,snb,2024-11-08T10:40:00,"تم تحويل مبلغ 47,641.13 AED الى نورة الشمري رقم المرجع 222474182 الرصيد 219,880.72"
910,بنك الرياض,2024-02-08T09:44:00,"تم ايداع راتب بمبلغ 64,768.82 USD في الحساب ***246 بتاريخ 2024-02-08"
911,الأهلي,2024-01-17T20:08:00,"ATM withdrawal AED 9,405.02 from account ***327 on 2024-01-17. Available balance AED 359,681.89"
912,الراجحي,2024-12-04T12:05:00,"Dear customer, service المدفوعات الدولية was activated on account ***338. Call 9"
913,بنك الرياض,2024-09-29T01:51:00,"تم تحويل مبلغ 89,677.99 AED الى acme trading llc رقم المرجع 925015567 الرصيد 488,423.55"
914,alrajhi,2024-11-14T15:48:00,‏Your card xxxx3322 was declined at بنده due to insufficient funds‎
915,الأهلي,2024-03-12T00:26:00,"سحب  نقدي 70,971.42 USD من الحساب ***912 بتاريخ 2024-03-12 الرصيد المتاح 145,714.64"
916,riyad bank,2024-01-06T19:29:00,Your card xxxx1967 was declined at starbucks due to insu
917,الأهلي,2024-08-22T07:06:00,Your card ****7396 was declined at amazon.sa due to insufficient funds
918,alrajhi,2024-06-07T19:42:00,"تم Ø§ÙŠØ¯Ø§Ø¹ Ø±Ø§ØªØ¨ Ø¨Ù…Ø¨Ù„Øº 18,677.39 USD Ùي الحساب ***725 بتاريخ 07/06/2024"
919,الراجحي,2024-12-12T09:56:00,"تم  تحويل مبلغ 33,010.69 AED الى mohammed ali رقم المرجع 865918732 الرصيد 271,110.54"
920,الراجحي,2024-04-27T11:04:00,"Salary of SAR 38,366.36 credited to account ***106 on 27/04/2024"
921,snb,2024-05-01T00:25:00,خصم Ø±Ø³ÙˆÙ… 88.88 AED Ø¹Ù„Ù‰ Ø§Ù„Ø­Ø³Ø§Ø¨ ***859 رقم العملية 496801270
922,riyad bank,2024-01-20T15:30:00,"سحب نقدي 45,211.89 USD من الحساب ***500 بتاريخ 20/01/2024 الرصيد المتاح 459,750.74"
923,الراجحي,2024-05-19T10:58:00,"Transfer of USD 69,768.27 to sara a. completed. Ref 292411019. Balance USD 318,773.53"
924,الراجحي,2024-02-02T14:01:00,عزيزنا العميل تم تفعيل خدمة المدفوعات الدولية على حسابك ***111 للاستفسار اتصل على 966560005055 thank you
925,الأهلي,2024-08-26T23:40:00,"Purchase of AED 83,277.82 at carrefour hyper on card ending ****8643 on 2024-08-26 23:40. Available balance AED 274,043.15"
926,الأهلي,2024-03-10T19:32:00,"Purchase of ر.س 28,923.36 at starbucks on card ending ****1647 on 2024-03-10 19:32. Available balance ر.س 203,844.18"
927,الأهلي,2024-06-03T19:01:00,"سحب نقدي 5,057.35 ر.س من الحساب ***917 بتاريخ 2024-06-03 الرصيد المتاح 279,261.19"
928,snb,2024-11-26T22:32:00,عزيزنا العميل تم تفعيل خدمة apple pay على حسابك ***546 للاستفسار اتص
929,riyad bank,2024-01-27T23:17:00,"عملية شراء بمبلغ ٤٨,٤٠٤.٤٣ USD لدى نون بالبطاقة xxxx٨٨٠٥ بتاريخ ٢٧/٠١/٢٠٢٤ الرصيد المتاح ٢٢٦,٦٣٠.٥٢"
930,snb,2024-09-16T20:43:00,"ATM  withdrawal SAR 26,109.11 from account ***172 on 2024-09-16. Available balance SAR 348,209.30 -snb"
931,riyad bank,2024-07-25T23:48:00,"Transfer of SAR 81,228.79 to mohammed ali completed. Ref 831004930. Balance SAR 166,605.00"
932,snb,2024-06-25T17:17:00,"Purchase of AED 6,732.79 at نون on card ending xxxx4738 on 2024-06-25 17:17. Available "
933,snb,2024-06-18T08:34:00,"سحب Ù†Ù‚Ø¯ÙŠ 80,302.61 USD Ù…Ù† Ø§Ù„Ø­Ø³Ø§Ø¨ ***431 Ø¨ØªØ§ريخ 18/06/2024 الرصيد المتاح 284,165.92"
934,alrajhi,2024-09-04T18:44:00,خصم رسوم 49.03 USD على الحساب ***506 رقم العملية 241125169
935,بنك الرياض,2024-08-04T02:23:00,"ATM  withdrawal AED 50,608.15 from account ***433 on 2024-08-04. Available balance AED 495,916.39"
936,snb,2024-07-22T01:44:00,"سحب نقدي 51,742.00 SAR من الحساب ***866 بتاريخ 2024-07-22 الرصيد المتاح 11,915.75"
937,بنك الرياض,2024-09-09T00:15:00,"‏Bill payment SAR 14,328.25 to carrefour hyper succeeded. Fee SAR 96.63. Ref 985694801‎"
938,snb,2024-03-14T07:19:00,"Transfer of SAR 6,713.62 to خالد العتيبي completed. Ref 704759902. Balance SAR 31,714.38"
939,الراجحي,2024-07-12T08:31:00,"ATM withdrawal AED 43,472.34 from account ***570 on 12/07/2024. Available balance AED 181,460.46"
940,alrajhi,2024-08-07T20:01:00,"Purchase of AED 68,647.72 at starbucks on card ending ****5682 on 07/08/2024 20:01. Available balance AED 71,532.32"
941,riyad bank,2024-06-26T12:59:00,‏Your OTP is 570516. Valid for 5 minutes. Do not share it with anyone‎
942,snb,2024-06-05T14:32:00,"Dear customer, service sms alerts was activated on account ***531. Call 966520933500 for help"
943,alrajhi,2024-08-23T12:22:00,عزيزنا العميل تم تفعيل خدمة sms alerts على حسابك ***706 للاستفسار اتص
944,الأهلي,2024-11-20T22:15:00,"عملية شراء بمبلغ 84,632.22 SAR لدى carrefour hyper بالبطاقة xxxx5502 بتاريخ 2024-11-20 الرصيد المتاح 224,022.28"
945,riyad bank,2024-10-16T17:04:00,Your card ****5958 was declined at بنده due to insufficient funds
946,alrajhi,2024-11-24T03:21:00,"Bill payment SAR 82,669.39 to نون succeeded. Fee SAR 73.97. Ref 777609824 thank you"
947,الأهلي,2024-08-01T18:32:00,"Transfer of USD 78,641.78 to نورة الشمري completed. Ref 416661370. Balance USD 52,398.38"
948,alrajhi,2024-06-12T20:51:00,خصم رسوم 9.42 ر.س على الحساب ***456 رقم العملية 638797807
949,الراجحي,2024-03-15T10:24:00,Your OTP is 24035. Valid for 5 minutes. Do not share it with anyone
950,riyad bank,2024-09-05T02:31:00,"تم  تحويل مبلغ 75,016.33 SAR الى خالد العتيبي رقم المرجع 760145219 "
951,alrajhi,2024-10-25T16:00:00,‏عزيزنا العميل تم تفعيل خدمة المدفوعات الدولية على حسابك ***413 للاستفسار اتصل على 966517844108‎
952,الأهلي,2024-05-31T08:27:00,رمز التحقق الخاص بك هو 313644 صالح لمدة 15 دقائق لا تشاركه مع احد
953,الراجحي,2024-02-23T00:22:00,خصم رسوم 10.61 SAR على الحساب ***310 رقم العملية 846144113
954,riyad bank,2024-07-10T16:43:00,Your  OTP is 942667. Valid for 15 minutes. Do not share it with anyone
955,snb,2024-09-14T05:30:00,"Transfer of ر.س 64,281.15 to نورة الشمري completed. Ref 805862133. Balance ر.س 287,177.21"
956,alrajhi,2024-09-06T08:39:00,"‏Bill payment SAR 18,882.32 to carrefour hyper succeeded. Fee SAR 6.67. Ref 971197000‎"
957,بنك الرياض,2024-03-25T06:59:00,‏عزيزنا العميل تم تفعيل خدمة sms alerts على حسابك ***425 للاستفسار اتصل على 966545522855‎
958,riyad bank,2024-07-08T09:25:00,"عملية شراء بمبلغ 10,346.27 AED لدى amazon.sa بالبطاقة xxxx1066 بتاريخ 2024-07-08 الرصيد المتاح 74,104.08"
959,الراجحي,2024-06-30T11:31:00,خصم رسوم 8.62 SAR على الحساب ***279 رقم العملية 874738316
960,الأهلي,2024-09-16T00:09:00,"Salary of SAR 82,951.59 credited to account ***846 "
961,riyad bank,2024-07-01T17:23:00,عزيزنا العميل تم تفعيل خدمة apple pay على حسابك ***629 للاستفسار اتصل على 966516219890
962,بنك الرياض,2024-04-18T03:04:00,عزيزنا العميل تم تفعيل خدمة apple pay على حسابك ***950 للاستفسار اتصل على 966584083870
963,riyad bank,2024-02-02T01:04:00,"تم  ايداع راتب بمبلغ 4,768.14 SAR في الحساب ***642 بتاريخ 2024-02-02"
964,الأهلي,2024-06-02T04:46:00,رمز التحقق الخاص بك هو 590653 صالح لمدة 10 دقائق لا تشاركه مع احد thank you
965,riyad bank,2024-01-21T23:42:00,"عملية شراء بمبلغ ٢٧,٤١١.٩٧ AED لدى نون بالبطاقة xxxx٤٤٩٤ بتاريخ ٢٠٢٤-٠١-٢١ الرصيد المتاح ٩١,١٥٨.٥٣"
966,بنك الرياض,2024-01-19T00:50:00,"Dear customer, service sms alerts was activated on account ***717. Call 966574666145 for help"
967,riyad bank,2024-07-01T16:09:00,"Transfer of ر.س 57,264.95 to نورة الشمري completed. Ref 691203116. Balance ر.س 209,145.19 شكرا لك"
968,riyad bank,2024-05-07T08:35:00,Your OTP is 940055. Valid for 15 minutes. Do not share it with anyone
969,بنك الرياض,2024-12-11T19:27:00,"ATM withdrawal SAR 42,233.19 from account ***892 on 2024-12-11. Available balance SAR 261,169.13"
970,الأهلي,2024-06-20T19:52:00,"تم ايداع راتب بمبلغ 70,243.99 ر.س في الحساب ***119 بتاريخ 20/06/2024"
971,الراجحي,2024-10-28T12:21:00,"Bill  payment USD 22,765.87 to صيدلية النهدي succeeded. Fee USD 11.22. Ref 854573566"
972,بنك الرياض,2024-03-13T16:22:00,"Bill payment USD ١٨,٦٩٧.٩٦ to صيدلية النهدي succeeded. Fee USD ٦٤.٦١. Ref ٧٥٩٩٤٧٧٠٧"
973,الأهلي,2024-06-18T18:51:00,Your card ****7571 was declined at بنده due to insuf
974,الراجحي,2024-10-25T16:24:00,‏Your card ****4977 was declined at jarir bookstore due to insufficient funds‎
975,بنك الرياض,2024-01-28T15:20:00,"‏ATM withdrawal SAR 56,999.99 from account ***692 on 28/01/2024. Available balance SAR 302,297.70‎"
976,الراجحي,2024-09-04T03:15:00,رمز Ø§Ù„ØªØ­Ù‚Ù‚ Ø§Ù„Ø®Ø§Øµ Ø¨Ùƒ Ù‡Ùˆ 671459 ØµØ§Ù„Ø­ لمدة 5 دقائق لا تشاركه مع احد
977,riyad bank,2024-06-14T06:26:00,‏Your card ****٨٢٩٦ was declined at carrefour hyper due to insufficient funds‎
978,riyad bank,2024-02-18T09:42:00,"ATM withdrawal ر.س 10,850.49 from account ***189 on 18/02/2024. Available balance ر.س 305,141.03"
979,بنك الرياض,2024-11-06T02:23:00,"Dear customer, service الحوالات الفورية was activated on account ***802. Call 966522963905 for help"
980,riyad bank,2024-02-12T12:43:00,"Dear customer, service sms alerts was activated on account ***964. Call 966520659074 for help"
981,alrajhi,2024-02-07T10:51:00,خصم Ø±Ø³ÙˆÙ… 30.24 USD Ø¹Ù„Ù‰ Ø§Ù„Ø­Ø³Ø§Ø¨ ***703 رقم العملية 813793863
982,بنك الرياض,2024-06-03T12:01:00,"تم تحويل مبلغ 37,305.74 ر.س الى sara a. رقم المرجع 115960778 الرصيد 78,779.35"
983,الراجحي,2024-07-16T14:27:00,"سحب نقدي 22,064.69 SAR من الحساب ***710 بتاريخ 2024-07-16 الرصيد المتاح 210,146.98"
